label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
8	1146 m^2	1.1977	Computer Science	rabbit	0.8573	876	0.972	1078	Vani	867	676	0.7549
4	906 m^2	0.8996	Robotics Engineering	bird	0.5604	953	1.0863	891	Lise	1205	844	0.5386
1	N/A	0.6667	Electrical Engineering	reptile	0.996	989	0.7408	517	Vani	1460	1024	0.8037
0	91 m^2	-0.0259	Natural Language Processing	rabbit	0.9493	1129	0.5906	553	Reilly	704	973	1.2539
0	408 m^2	0.0686	Natural Language Processing	rabbit	1.1114	953	0.2061	345	Reilly	144	1086	0.9654
6	687 m^2	1.071	Computational Media	pig	1.0866	944	0.9318	1113	Eriq	1317	795	1.2295
5	1045 m^2	0.9767	Applied Mathematics	fish	0.4908	463	0.9379	1012	Fabrice	545	813	1.103
3	954 m^2	0.4909	Human Computer Interaction	hamster	1.0593	782	0.8684	714	Andrew	941	860	1.0497
1	906 m^2	0.8741	Electrical Engineering	reptile	0.8031	?	1.0209	815	Vani	1045	801	1.2704
3	1000 m^2	0.1861	Statistics	hamster	1.021	888	1.2208	964	Andrew	868	743	0.587
0	68 m^2	0.3936	Natural Language Processing	rabbit	0.7756	1178	0.5626	544	Reilly	406	1045	0.6887
4	1045 m^2	1.296	Robotics Engineering	bird	0.1779	1029	0.8564	811	Inan	1103	838	0.9148
8	931 m^2	0.8037	Computer Science	Dog	1.2332	990	1.1529	1188	Eriq	994	860	1.2322
0	91 m^2	0.1167	Computer Engineering	rabbit	0.611	898	0.192	142	Reilly	499	848	0.8635
3	1269 m^2	0.2865	Computer Science	ferret	1.0186	1092	0.806	925	Andrew	1226	1308	0.9458
6	531 m^2	0.6268	Technology and Information Management	rat	1.0666	724	0.4791	1048	Eriq	1309	802	0.9086
8	936 m^2	0.8608	Computer Science	dog	0.9374	1230	1.1996	988	Tony	1048	736	1.0333
8	1085 m^2	0.8813	Computer Science	dog	1.0948	1038	1.1007	1116	Tony	861	1056	1.1038
8	934 m^2	1.1894	Computer Science	dog	0.7994	1022	None	1147	Tony	1456	922	0.9621
4	814 m^2	1.4127	Applied Mathematics	guinea pig	0.4806	794	0.9802	1029	Inan	993	650	0.8751
0	328 m^2	0.1243	Natural Language Processing	rabbit	0.8348	773	0.2083	n/a	Reilly	730	936	0.8977
7	940 m^2	1.0527	Data Science	cat	0.509	621	0.9674	1525	Chris	1162	117	0.9748
5	1382 m^2	1.009	Bioengineering	fish	1.0627	371	0.9446	761	FABRICE	1545	912	0.9919
1	888 m^2	1.1916	Electrical Engineering	reptile	0.6879	1021	0.6938	978	Michael	1289	896	0.8957
8	999 m^2	1.2771	Computer Science	dog	0.811	884	0.6351	962	Tony	1286	1159	1.1011
4	708 m^2	1.0017	Bioinformatics	bird	0.0923	1070	0.7164	981	Inan	1025	604	0.6435
5	713 m^2	0.5104	Computer Science	fish	0.6204	422	0.8932	615	Fabrice	1041	659	0.8743
2	1144 m^2	1.1468	Games and Playable Media	chicken	1.3843	979	1.0196	118	Michael	1253	n/a	0.4689
0	239 m^2	0.5226	Biotechnology	rabbit	0.4442	958	0.1849	428	Reilly	248	1203	0.963
1	959 m^2	0.7035	Electrical Engineering	pig	1.0506	875	0.9723	1495	Vani	1111	1027	1.1072
2	973 m^2	0.7387	Electrical Engineering	rat	0.9311	985	0.8525	-30	Michael	1036	392	0.1098
6	682 m^2	0.8686	Technology and Information Management	pig	1.0365	920	1.0559	1013	Fabrice	965	1043	1.2578
3	1333 m^2	0.6454	HUMAN COMPUTER INTERACTION	guinea pig	1.2356	940	1.0259	939	Chris	1057	1057	0.6696
7	1019 m^2	0.832	Data Science	cat	0.5306	1036	1.1412	1130	Chris	1197	-187	0.8872
2	1112 m^2	1.0665	Games and Playable Media	rat	1.4488	625	1.4787	94	Michael	1044	638	0.2234
7	810 m^2	0.9607	Data Science	cat	0.4535	1063	1.0582	990	Chris	1118	233	1.022
8	959 m^2	0.7912	Computer Science	dog	0.9353	983	1.0853	891	Sam	1142	1190	0.7766
8	1177 m^2	1.3963	Computer Science	dog	0.9142	1086	1.1388	734	Chris	851	846	0.9265
2	1222 m^2	0.8818	Games and Playable Media	rat	0.8069	N/A	0.8493	275	Andrew	897	537	0.0403
3	728 m^2	0.7189	Statistics	hamster	0.7017	1118	1.0538	1183	Andrew	843	971	0.9159
8	983 m^2	0.8213	Computer Science	dog	1.4272	981	1.1849	1035	Inan	842	827	0.9631
0	450 m^2	0.0844	Computer Engineering	rabbit	0.5253	1240	0.2855	-226	Reilly	482	884	1.0073
6	750 m^2	1.2319	Technology and Information Management	pig	1.3138	923	1.0658	954	Eriq	1025	1078	1.2583
6	820 m^2	0.8603	Games and Playable Media	rabbit	1.0329	1213	1.0893	1207	Lise	503	716	1.1269
3	1381 m^2	0.5203	Computer Game Design	hamster	0.8938	896	0.6416	864	ANDREW	830	978	0.6825
6	621 m^2	1.3533	Technology and Information Management	fish	0.899	890	1.4131	945	Eriq	957	943	0.9324
7	724 m^2	0.5872	Data Science	cat	0.7166	935	1.0968	1306	Chris	958	-45	1.0016
6	862 m^2	1.2513	Technology and Information Management	pig	0.7261	1043	1.2163	1158	Eriq	769	933	1.1688
1	1046 m^2	1.0545		REPTILE	0.6699	?	NULL	918	Vani	745	1065	1.1485
4	998 m^2	0.802	Bioinformatics	bird	0.1607	880	1.0481	956	Lise	994	689	0.9003
4	1021 m^2	1.1786	Robotics Engineering	bird	0.1379	NULL	0.7707	937	Lise	1146	1086	0.6873
6	537 m^2	0.8728	Computational Media	cat	0.6946	963	0.7983	1100	Eriq	559	900	0.9235
2	1051 m^2	0.8802	Games and Playable Media	chicken	0.6507	999	0.6853	7	Michael	836	218	0.527
8	988 m^2	0.9127	Computer Science	dog	0.9354	1291	1.1804	677	Sam	1435	777	1.0142
7	901 m^2	0.9974	Data Science	cat	0.6415	1012	0.9241	792	N/A	1503	119	0.8268
2	915 m^2	1.1157	Games and Playable Media	chicken	1.024	922	1.2651	267	Michael	490	175	0.3454
3	737 m^2	0.3274	Statistics	hamster	0.7212	1124	0.6099	1017	Andrew	802	897	1.1738
8	1198 m^2	0.9762	Computer Science		0.9392	1124	1.0687	1060	Tony	810	1085	0.9945
1	1032 m^2	1.1786	Electrical Engineering	reptile	0.6289	777	0.941	970	Vani	856	1006	1.1453
5	893 m^2	0.6725	Bioengineering	fish	0.4309	267	1.0277	762	Fabrice	686	720	0.8986
3	999 m^2	0.6831	Statistics	ferret	0.703	1136	1.0178	790	Andrew	708	1200	0.8437
2	1042 m^2	1.2004	Games and Playable Media	dog	0.8777	1172	0.9139	313	Michael	1154	277	0.3793
3	873 m^2	1.006	Human Computer Interaction	ferret	1.1535	960	1.4517	1193	Andrew	1263	822	1.0276
8	1158 m^2	0.8576	Computer Science	DOG	1.0535	993	0.8363	1060	Sam	1004	1002	1.0979
0	537 m^2	0.3351	Natural Language Processing	chicken	0.5808	722	0.4737	355	Reilly	454	1130	1.1051
5	722 m^2	1.3002	Bioengineering	fish	0.5578	228	1.0193	1141	Fabrice	1077	825	1.0252
4		0.8535	Robotics Engineering	fish	0.513	1135	0.7502	906	Lise	846	833	0.1667
1	1035 m^2	0.7691	Electrical Engineering	REPTILE	0.8752	753	1.0137	1283	?	1138	1072	0.888
2	826 m^2	0.9404	Games and Playable Media	rat	0.8691	1313	0.6493	49	Sam	970	301	0.3335
5	956 m^2	0.944	Applied Mathematics	fish	0.5657	380	0.859	799	Fabrice	1314	625	0.9966
6	935 m^2	0.7315	Computational Media	pig	1.0752	981	0.9154	948	Eriq	1357	698	1.0978
4	1112 m^2	1.3097	Bioinformatics	bird	0.1515	1039	0.9564	970	Inan	1138	811	1.1687
3	733 m^2	0.3199	Computer Game Design	hamster	0.9512	905	0.9178	902	Andrew	1205	1033	1.0086
4	1172 m^2	1.0423	Robotics Engineering	guinea pig	0.2236	787	0.9404	892	Lise	665	632	1.0064
5	1014 m^2	0.9469	Applied Mathematics	fish	0.5568	330	1.3381	890	Michael	1113	503	0.9102
3	660 m^2	0.5904	Technology and Information Management	ferret	1.0052	964	0.9958	977	Andrew	820	1052	1.1362
5	1083 m^2	1.3358	Applied Mathematics	fish	0.7512	371	0.7648	766	fABRICE	785	1003	0.4066
4	1054 m^2	1.166	Robotics Engineering	guinea pig	0.352	796	0.6898	1075	Inan	1196	866	0.9142
3	988 m^2	0.8564	Electrical Engineering	hamster	0.7876	1322	1.1565	852	Andrew	1556	1097	0.9427
8	1044 m^2	1.2533	Computer Science	dog	0.8415	927	1.068	750	Fabrice	1075	975	0.9318
5	776 m^2	1.0156	Bioengineering	fish	0.4145	265	1.0764	835	Michael	1318	835	0.8394
4	1188 m^2	0.8553	Robotics Engineering	guinea pig	0.4362	882	0.9349	797	Lise	1432	908	0.7866
8	1192 m^2	0.8963	Computer Science	dog	0.7839	939	1.069	1155	Sam	1133	984	0.7637
6	606 m^2	0.6115	Technology and Information Management	Pig	0.808	1088	1.1576	677	Eriq	825	1171	0.8774
7	729 m^2	0.9842	Data Science	cat	0.5296	1172	0.9267	936	Chris	1196	133	1.0658
7	903 m^2	0.9353	Data Science	cat	0.3704	1020	0.7465	856	Chris	700	84	1.089
0	194 m^2	0.063	Biotechnology	rabbit	0.6915	892	0.3758	449	Reilly	390	923	0.8868
3	1290 m^2	0.0355	Applied Mathematics	hamster	0.8087	855	1.3326	802	Andrew	1048	848	1.0457
8	962 m^2	0.9488	Computer Science	dog	1.1451	1011	1.0177	1077	Sam	1117	943	1.0359
7	1234 m^2	0.6884	Data Science	cat	0.2574	862	1.4065	836	Chris	1243	54	1.1367
5	989 m^2	0.826	Bioengineering	fish	1.0186	386	0.8807	627	Fabrice	984	923	1.0525
8	895 m^2	1.026	Computer Science	dog	0.9661	978	1.2466	1093	Sam	1228	1174	1.0198
4	1176 m^2	0.8284	Robotics Engineering	guinea pig	0.0397	682	1.0037	1044	Inan	1246	505	0.9003
4	689 m^2	1.166	Robotics Engineering	guinea pig	0.2923	568	0.7353	959	Lise	899	?	0.72
6	748 m^2	1.2202	Technology and Information Management	pig	1.1394	1141	0.9821	905	Lise	547	864	1.1825
8	1247 m^2	1.0158	Computer Science	dog	1.2935	886	0.9379	1045	Sam	1121	990	1.0537
6	619 m^2	1.1387	Computational Media	pig	1.2304	886	0.8992	862	Eriq	864	851	0.9242
3	1250 m^2	0.2506	Human Computer Interaction	hamster	1.2044	997	0.812	1264	Andrew	888	1105	1.0343
3	875 m^2	0.7301	Human Computer Interaction	dog	0.9803	1322	0.8922	759	Andrew	1306	896	1.041
0	351 m^2	0.2405	Robotics Engineering	rabbit	0.752	964	0.4761	518	Reilly	682	1012	0.7532
6	594 m^2	1.3926	Technology and Information Management	pig	1.0313	848	1.1137	1025	Eriq	812	795	0.8212
7	1058 m^2	0.7333	Data Science	cat	?	983	0.9535	974	chris	1104	112	1.1411
4	871 m^2	1.3032	Robotics Engineering	rabbit	0.549	799	0.9695	1066	Lise	388	961	0.7419
4	1029 m^2	1.4127	Bioinformatics	fish	0.1282	838	1.321	1405	Reilly	798	796	1.0342
5	838 m^2	1.0931	NULL	fish	0.8541	393	0.949	678	Fabrice	1125	978	1.155
7	922 m^2	0.6728	Data Science	cat	0.3434	723	0.861	798	Chris	819	33	0.8687
2	1013 m^2	0.6922	NULL	chicken	0.7506	902	0.6342	167	Michael	718	311	0.4217
3	895 m^2	0.5822	Computer Game Design	ferret	1.0576	984	0.726	1146	Fabrice	1204	958	1.2526
0	414 m^2	-0.2621	Computer Engineering	rabbit	0.6087	1152	0.4337	121	Reilly	626	905	0.9416
4	808 m^2	0.7085	Robotics Engineering	bird	0.6388	778	1.0603	1479	Eriq	1246	783	0.7095
6	662 m^2	0.9119	Computational Media	pig	1.063	1107	0.9726	1107	Eriq	646	1112	0.9322
2	1203 m^2	0.7218	Games and Playable Media	rat	0.9211	1001	0.8214	351	Michael	1123	243	0.4103
3	851 m^2	0.6843	Statistics	cat	0.9861	975	1.1183	1141	Andrew	896	1109	1.0136
1	1046 m^2	1.2122	Electrical Engineering	rabbit	0.8417	988	0.8776	750	Vani	1358	936	1.0544
4	991 m^2	0.7792	Bioinformatics	guinea pig	0.5043	1001	0.6531	1047	Inan	1028	993	0.8336
1	1208 m^2	0.855	Bioinformatics	reptile	0.9298	967	1.0772	1127	Reilly	646	959	0.9996
4	793 m^2	1.1382	Bioinformatics	bird	0.369	1031	1.3304	882	Lise	1311	623	1.0715
0	441 m^2	0.1207	Natural Language Processing	rabbit	0.7016	1020	0.1776	556	Tony	530	1123	1.3462
8	1228 m^2	0.9921	Computer Science	dog	1.5464	1177	0.9534	1367	Sam	985	741	1.0148
5	884 m^2	0.7911	Applied Mathematics	Rat	0.7306	217	0.9273	683	Fabrice	1191	940	0.9877
2	567 m^2	0.7318	Games and Playable Media	chicken	0.9331	1017	1.1248	591	Michael	1214	397	0.2792
3	729 m^2	0.5279	Computer Game Design	hamster	0.8894	941	0.9289	1020	andrew	1153	1040	1.0448
0	136 m^2	0.5876	Natural Language Processing	rabbit	0.8453	1102	0.2926	589	Reilly	377	1084	0.7533
8	1290 m^2	n/a	Computer Science	Dog	0.6525	779	1.1534	1443	Tony	862	1058	0.9831
0	50 m^2	0.1867	Computer Engineering	rabbit	0.9699	952	0.2098	435	Reilly	358	781	0.9273
4	875 m^2	0.9349	Computer Science	bird	0.0216	616	0.697	916	Inan	1090	556	0.6059
8	1198 m^2	0.7231	Computer Science	dog	1.2902	1126	0.9785	686	Sam	1258	1031	1.0862
5	1108 m^2	0.9567	Bioengineering	fish	0.4788	245	0.6672	779	Eriq	954	1017	0.7592
2	1274 m^2	1.0718	games and playable media	chicken	0.8672	1077	1.0501	517	michael	912	420	0.0652
2	1069 m^2	0.8968	GAMES AND PLAYABLE MEDIA	rat	0.8777	1090	0.8373	345	Michael	978	86	0.2149
4	963 m^2	0.9919	Robotics Engineering	bird	0.2241	846	0.8179	851	Lise	961	837	0.9141
6	542 m^2	1.183	Technology and Information Management	pig	0.9582	1127	1.4492	1069	Inan	911	1321	1.2447
0	465 m^2	0.2748	Computer Engineering	rabbit	0.7362	1165	0.2788	664	Reilly	867	1064	1.1705
5	738 m^2	0.8443	Applied Mathematics	fish	0.4701	507	0.9325	499	Fabrice	989	574	1.1689
6	417 m^2	1.0281	Computational Media	pig	0.8685	1312	0.8182	1171	Eriq	1007	1358	1.08
6	818 m^2	0.7729	Technology and Information Management	pig	0.9605	1249	0.8642	1278	Chris	968	905	1.2729
3	1025 m^2	0.6764	Computer Game Design	ferret	1.1412	890	0.871	1009	Andrew	930	953	0.9561
4	1080 m^2	1.097	Computer Engineering	bird	0.2515	537	0.6829	899	Inan	916	834	0.58
8	737 m^2	0.829	Applied Mathematics	dog	1.1063	957	0.7763	907	Sam	793	831	0.7897
4	1180 m^2	0.6014	Robotics Engineering	guinea pig	0.5668	760	0.744	936	Eriq	1053	895	0.9267
3	1152 m^2	1.0353	Statistics	hamster	0.7993	1333	0.7434	1156	Chris	1194	936	0.9051
4	1102 m^2	0.6902	Robotics Engineering	guinea pig	0.147	1111	0.5137	1124	Inan	1328	1133	0.5221
2	1048 m^2	0.5495	Games and Playable Media	chicken	1.0927	1036	1.2807	397	Michael	1012	390	0.2839
1	1215 m^2	1.1042	Electrical Engineering	REPTILE	1.0509	1017	1.2162	959	Vani	865	934	0.9656
6	None	0.8996	Computational Media	pig	0.9907	1093	1.0384	890	Eriq	1086	804	0.6527
3	893 m^2	0.5484	Statistics	pig	0.5053	906	1.0142	1106	Andrew	1005	1046	1.2397
2	689 m^2	0.7999	Games and Playable Media	chicken	0.9838	940	0.9911	344	Michael	1178	355	0.5566
7	964 m^2	1.1849	data science	cat	0.5121	1177	0.9872	1065	Chris	997	62	1.0085
2	858 m^2	0.9853	Games and Playable Media	rat	0.7627	847	0.9695	81	Michael	1155	375	0.439
6	841 m^2	0.7941	Technology and Information Management	pig	0.9414	1151	0.821	971	Eriq	872	966	0.8095
3	864 m^2	0.0922	Human Computer Interaction	hamster	0.8644	830	0.661	916	Andrew	1122	978	0.8075
5	1154 m^2	1.2539	Applied Mathematics	fish	0.6007	271	1.1943	505	Fabrice	906	1202	1.1531
0	167 m^2	-0.2642	Computer Engineering	rabbit	0.181	1070	0.4029	215	REILLY	451	938	1.0467
6	736 m^2	1.1414	COMPUTATIONAL MEDIA	pig	1.3676	1220	0.6234	1264	Eriq	1121	1043	0.6816
4	976 m^2	1.0096	Robotics Engineering	guinea pig	0.1975	709	0.9504	918	Lise	1251	826	0.7154
1	960 m^2	0.9198	Electrical Engineering	reptile	0.8841	792	0.8257	1165	vani	892	1068	1.0184
2	1017 m^2	1.18	Games and Playable Media	rabbit	0.8782	1082	0.7796	345	Michael	971	83	0.4407
4	894 m^2	1.1162	Bioinformatics	bird	0.2483	782	0.8351	1030	Inan	865	627	0.9306
1	1346 m^2	0.8034	Electrical Engineering	REPTILE	1.081	784	0.9928	1019	Michael	745	1156	0.9728
7	807 m^2	0.6221	Data Science	cat	0.3883	859	0.6844	821	Chris	910	NULL	1.0202
0	110 m^2	0.4508	Natural Language Processing	rabbit	0.9001	646	0.65	175	Fabrice	416	1021	0.9106
1	1200 m^2	0.9319	Electrical Engineering	reptile	1.0813	862	0.5778	1006	Chris	n/a	1180	1.0325
2	1482 m^2	0.9555	Games and Playable Media	CHICKEN	1.1967	1208	1.0225	53	Fabrice	1027	43	0.3962
0	307 m^2	0.1244	Computer Engineering	rabbit	0.8485	883	0.6866	576	Reilly	703	937	0.9847
8	1143 m^2	0.9267	Computer Science	dog	1.1323	1222	0.6905	926	Fabrice	1615	923	0.8981
4	957 m^2	1.2671	Robotics Engineering	bird	0.4764	921	0.7397	1066	Sam	1147	936	1.2258
3	1195 m^2	0.3057	Statistics	reptile	0.9464	1106	0.9761	1023	Andrew	956	730	0.7926
5	1159 m^2	0.9791	Bioengineering	fish	0.8391	279	1.2582	983	Fabrice	677	517	0.9022
8	1119 m^2	0.8931	Computer Science	reptile	1.1671	1365	0.7606	970	Sam	1270	782	1.2178
8	1225 m^2	1.0011	Computer Science	dog	0.6829	881	0.8356	850	Eriq	1120	898	0.8243
0	6 m^2	-0.427	Biotechnology	rabbit	0.8861	979	0.61	449	Reilly	452	1086	0.7584
5	1058 m^2	1.1707	Bioengineering	hamster	0.8688	451	1.0027	712	Fabrice	1053	856	0.9478
0		0.0124	Computer Engineering	rabbit	0.9236	1035	0.4575	32	Reilly	344	1196	0.9686
4	1171 m^2	1.1087	Bioinformatics	bird	0.3202	907	0.8579	1293	Andrew	1522	708	0.9347
5	898 m^2	1.4398	Applied Mathematics	fish	0.7363	521	0.8563	533	Fabrice	1006	606	0.9269
5	1004 m^2	0.9666	Bioengineering	fish	0.4387	617	1.5196	990	Fabrice	1056	626	0.8091
6	664 m^2	0.9024	Technology and Information Management	reptile	1.234	795	1.233	993	Eriq	652	993	1.223
7	1040 m^2	0.8078	dATA sCIENCE	cat	0.4358	923	1.1495	1032	Andrew	778	-66	1.2482
7	1024 m^2	1.2361	Data Science	chicken	0.5918	835	0.8886	1005	Chris	888	205	1.0435
5	949 m^2	0.8069	Applied Mathematics	fish	0.8301	517	0.8387	577	Fabrice	1380	780	0.6223
6	475 m^2	1.0015	Technology and Information Management	ferret	1.1315	937	1.0372	1061	Eriq	1223	815	0.4194
3	1221 m^2	0.7294	Statistics	rabbit	1.1821	977	1.2471	1070	Andrew	1155	724	0.6157
1	1122 m^2	1.0274	Electrical Engineering	reptile	1.1316	858	0.8506	1138	?	775	1150	1.0594
5	1290 m^2	1.0409	Games And Playable Media	fish	0.5186	343	1.1242	879	Fabrice	854	676	0.8651
7	810 m^2	0.9068	Data Science	cat	0.6361	996	0.8558	850	Chris	912	-46	1.1258
0	454 m^2	-0.1171	Computer Engineering	rabbit	0.725	1200	0.5711	572	Reilly	250	758	0.9384
4	792 m^2	1.0401	Bioinformatics	guinea pig	0.4335	758	0.816	1067	Inan	1205	746	0.828
7	829 m^2	0.8349	Data Science	cat	0.889	1080	1.0389	691	Chris	1301	161	0.8988
2	902 m^2	1.1845	Games and Playable Media	rat	1.1052	1073	1.0214	200	Michael	1013	487	0.6611
4	761 m^2	0.9814	ROBOTICS ENGINEERING	rabbit	0.2405	646	0.7916	1217	Inan	1026	517	0.781
6	758 m^2	0.8361	Technology and Information Management	pig	0.9784	970	0.8121	1220	Eriq	937	775	0.9329
6	713 m^2	1.1129	Technology and Information Management	pig	0.914	1311	1.2269	708	Eriq	889	705	0.7908
3	804 m^2	0.3289	Computer Game Design	ferret	0.8585	940	0.9419	904	Lise	642	959	1.075
6	878 m^2	1.1868	Technology and Information Management	pig	0.8034	949	0.7693	1064	Eriq	695	1112	1.1535
7	870 m^2	0.5618	Data Science	cat	0.8301	1268	1.0258	1003	Chris	812	-1	0.9158
7	988 m^2	0.938	Data Science	cat	0.3524	1051	1.2862	1114	Chris	982	-113	0.7336
8	1181 m^2	0.7706	Electrical Engineering	dog	1.074	1036	1.0276	1377	Tony	1141	1016	1.0434
0	197 m^2	0.0152	Natural Language Processing	rabbit	0.5448	1236	0.2373	453	Reilly	857	1198	0.7392
7	753 m^2	0.4271	Data Science	dog	0.4953	1288	1.0698	997	Chris	978	-232	1.0474
6	937 m^2	1.1817	Computational Media	pig	0.9143	947	1.2281	743	Eriq	755	916	0.9691
0	175 m^2	0.7764	Natural Language Processing	rabbit	0.5211	904	0.5959	458	Reilly	438	986	1.0924
8	1234 m^2	0.8146	Human Computer Interaction	dog	1.1315	1058	1.2593	794	Sam	1062	799	0.7893
5	1024 m^2	0.6193	Bioengineering	fish	0.7275	343	1.1802	526	Fabrice	1037	707	1.1352
3	1083 m^2	0.0059	Human Computer Interaction	hamster	1.012	753	1.3458	922	Andrew	1010	889	1.1813
7	844 m^2	0.6699	Data Science	cat	0.4729	892	0.6861	1037	Chris	1110	216	0.9562
8	1242 m^2	0.7508	Computer Science	dog	0.9587	667	1.1012	765	Tony	1088	1004	1.1481
1	884 m^2	0.7974	Electrical Engineering	reptile	1.0022	1257	0.9069	960	Vani	1355	1178	0.8175
6	916 m^2	1.2213	Technology and Information Management	pig	0.7361	1160	1.0525	1007		968	1036	0.9651
2	974 m^2	0.9759	Games and Playable Media	Rabbit	0.92	958	0.7923	333	MICHAEL	1139	327	0.6027
3	870 m^2	0.3882	Statistics	hamster	0.714	806	0.9617	1038	Andrew	778	840	1.0864
0	-183 m^2	0.1892	Natural Language Processing	rabbit	0.6343	957	0.4279	597	Reilly	395	921	1.129
2	1128 m^2	0.8372	Games and Playable Media	dog	0.9739	935	0.9412	151	Eriq	1090	566	0.3458
7	1129 m^2	0.6204	Data Science	cat	0.6371	1118	0.8964	839	Chris	884	-161	0.9549
6	550 m^2	0.7473	Technology and Information Management	bird	0.9484	693	1.2848	656	Eriq	1085	1210	0.8632
7	687 m^2	0.9829	Data Science	cat	0.7367	953	1.0102	770	Chris	945	-238	0.9855
8	998 m^2	1.1535	Computer Science	dog	0.8157	1101	1.0178	1010	Sam	1337	1177	0.8836
